,tick_based
126,1101.776576
127,1102.196542
128,1102.449426
129,1101.92698
130,1101.537501
131,1100.387972
132,1100.874631
133,1100.281362
134,1099.966219
135,1099.295972
136,1100.546542
137,1100.139089
138,1099.039918
139,1099.40402
140,1099.457703
141,1100.323648
142,1100.363797
143,1100.376507
144,1099.749668
145,1099.11846
146,1099.899715
147,1099.463868
148,1098.156357
149,1096.658368
150,1095.430917
151,1096.711633
152,1097.722896
153,1097.899817
154,1098.743171
155,1096.887225
156,1096.477072
157,1096.03481
158,1094.980676
159,1094.422227
160,1094.579958
161,1094.689064
162,1094.088566
163,1094.235665
164,1093.666571
165,1092.218686
166,1091.810922
167,1092.492227
168,1093.556586
169,1093.233228
170,1092.737765
171,1093.73414
172,1094.11566
173,1094.803262
174,1094.361275
175,1093.34905
176,1093.005997
177,1092.778348
178,1092.721445
179,1090.7559
180,1090.704996
181,1086.870701
182,1081.393148
183,1082.381306
184,1082.139998
185,1081.980024
186,1082.844527
187,1083.024153
188,1083.042692
189,1083.80245
190,1084.463242
191,1084.909306
192,1086.315514
193,1084.558286
194,1084.87976
195,1085.105623
196,1086.596663
197,1086.42683
198,1086.549375
199,1086.868342
200,1086.950077
201,1086.812944
202,1087.431833
203,1086.428488
204,1085.727333
205,1086.069555
206,1086.097568
207,1086.840619
208,1087.639948
209,1086.935345
210,1086.043492
211,1086.738444
212,1087.525037
213,1086.492559
214,1086.348673
215,1086.625776
216,1085.530492
217,1085.251864
218,1085.802346
219,1085.163976
220,1084.729354
221,1085.170106
222,1086.435048
223,1085.331884
224,1084.41949
225,1083.561745
226,1083.190369
227,1081.68666
228,1079.571478
229,1078.224856
230,1079.296263
231,1077.183248
232,1075.520007
233,1073.990584
234,1073.463906
235,1073.067809
236,1071.565887
237,1070.497818
238,1069.050079
239,1066.848715
240,1065.846401
241,1064.540487
242,1064.762844
243,1064.609084
244,1064.418197
245,1065.562346
246,1066.066867
247,1065.674933
248,1065.917292
249,1065.164814
250,1064.95962
251,1064.463982
252,1063.672821
253,1063.283764
254,1062.951733
255,1061.649499
256,1062.024141
257,1061.241044
258,1061.086819
259,1061.113305
260,1061.315563
261,1059.890141
262,1058.917906
263,1059.618749
264,1060.118155
265,1060.834188
266,1061.38502
267,1062.513051
268,1061.951144
269,1062.247687
270,1062.872402
271,1062.049703
272,1063.007609
273,1061.669778
274,1062.541209
275,1062.550067
276,1062.644727
277,1063.297709
278,1062.794026
279,1063.032863
280,1062.920714
281,1062.947239
282,1062.733371
283,1061.488107
284,1060.429724
285,1060.419625
286,1060.038063
287,1057.447479
288,1056.457243
289,1055.198639
290,1055.540382
291,1053.338309
292,1052.718653
293,1052.201427
294,1051.068294
295,1050.826018
296,1050.124983
297,1050.981884
298,1050.953868
299,1050.800851
300,1050.242408
301,1049.961668
302,1050.073021
303,1051.011092
304,1050.181243
305,1051.228771
306,1052.03842
307,1052.08363
308,1052.939796
309,1054.370072
310,1055.499127
311,1056.23188
312,1059.654656
313,1061.716576
314,1062.708469
315,1063.28198
316,1064.079281
317,1066.036343
318,1067.378285
319,1066.762424
320,1066.451689
321,1066.233608
322,1067.326245
323,1067.557137
324,1066.991789
325,1067.198411
326,1065.630407
327,1065.572313
328,1065.407518
329,1064.870786
330,1064.790297
331,1064.049692
332,1064.291635
333,1062.848647
334,1062.85038
335,1063.821348
336,1064.033694
337,1063.164489
338,1063.277145
339,1063.00802
340,1062.283151
341,1061.32266
342,1060.973634
343,1061.188543
344,1060.507413
345,1061.277256
346,1061.216375
347,1059.925877
348,1058.417736
349,1058.512439
350,1058.018275
351,1057.664318
352,1057.036516
353,1056.748761
354,1056.809541
355,1056.318898
356,1055.469793
357,1055.712859
358,1055.184961
359,1054.799448
360,1054.023998
361,1054.315146
362,1069.399829
363,1072.284477
364,1071.686842
365,1072.186719
366,1073.15278
367,1074.022176
368,1074.459301
369,1075.91254
370,1077.607655
371,1076.546729
372,1076.589501
373,1076.128234
374,1075.638531
375,1076.255681
376,1076.798685
377,1076.149551
378,1075.130389
379,1075.704351
380,1075.39734
381,1075.333797
382,1075.059937
383,1074.489755
384,1076.304806
385,1076.520972
386,1076.798113
387,1077.358071
388,1077.955695
389,1078.553745
390,1079.029182
391,1078.629909
392,1080.156057
393,1080.979109
394,1080.756246
395,1081.064562
396,1082.3364
397,1082.733244
398,1083.735862
399,1083.828155
400,1085.447161
401,1086.581184
402,1087.468522
403,1087.788452
404,1088.424119
405,1088.830121
406,1090.074241
407,1090.355742
408,1091.182731
409,1089.955754
410,1090.006395
411,1090.321008
412,1090.929051
413,1090.589602
414,1089.963751
415,1090.160401
416,1089.628601
417,1090.721753
418,1091.711476
419,1092.346564
420,1091.993224
421,1092.11586
422,1092.750252
423,1093.1879
424,1092.478179
425,1092.732821
426,1093.215911
427,1093.53537
428,1093.455646
429,1092.728555
430,1092.892879
431,1093.383572
432,1091.835322
433,1091.594961
434,1091.504199
435,1092.696517
436,1092.923032
437,1094.037535
438,1094.895583
439,1095.870365
440,1094.940894
441,1095.238763
442,1095.254395
443,1094.737076
444,1094.454086
445,1095.104974
446,1096.386163
447,1097.032817
448,1096.207247
449,1095.65544
450,1096.486976
451,1096.596789
452,1096.632598
453,1097.295929
454,1096.49747
455,1096.161602
456,1096.483248
457,1095.879794
458,1095.274594
459,1095.820206
460,1095.702387
461,1095.439855
462,1095.846298
463,1094.797238
464,1095.234163
465,1095.738264
466,1094.94067
467,1096.609996
468,1095.581355
469,1095.822944
470,1096.406298
471,1097.487505
472,1098.172698
473,1097.810901
474,1097.719084
475,1098.356718
476,1098.540253
477,1097.736953
478,1097.660275
479,1098.008873
480,1099.227638
481,1100.361165
482,1099.733056
483,1099.628606
484,1099.07738
485,1099.944095
486,1099.563999
487,1100.045124
488,1099.262488
489,1098.398412
490,1097.716847
491,1096.604989
492,1097.489773
493,1096.405969
494,1096.740164
495,1096.536174
496,1094.591338
497,1095.093517
498,1094.041271
499,1094.698142
500,1093.711753
501,1092.619535
502,1092.590298
503,1093.175584
504,1092.785319
505,1091.624461
506,1090.686402
507,1089.42053
508,1089.335464
509,1089.240244
510,1087.342959
511,1087.438002
512,1086.511629
513,1085.744142
514,1086.106579
515,1086.08262
516,1084.976278
517,1084.556704
518,1084.386392
519,1082.891907
520,1083.120002
521,1082.755231
522,1081.500244
523,1080.950736
524,1080.016976
525,1078.5964
526,1076.947736
527,1076.048233
528,1075.594067
529,1073.835667
530,1073.3541
531,1071.889716
532,1069.825593
533,1069.522412
534,1069.584514
535,1069.273527
536,1068.273948
537,1067.060724
538,1066.114743
539,1065.011255
540,1063.652281
541,1063.248189
542,1061.657902
543,1060.748171
544,1051.67895
545,1051.193879
546,1050.082499
547,1050.658255
548,1049.939339
549,1048.319161
550,1049.09284
551,1048.870223
552,1047.375936
553,1047.178966
554,1045.121317
555,1045.904977
556,1044.727952
557,1043.33008
558,1042.982664
559,1042.889971
560,1042.789653
561,1042.965639
562,1042.297143
563,1040.998674
564,1040.130805
565,1038.838681
566,1037.115506
567,1036.109911
568,1034.508276
569,1033.691291
570,1034.160176
571,1033.689132
572,1031.859003
573,1030.491766
574,1029.687419
575,1029.090983
576,1028.829795
577,1028.498775
578,1026.538529
579,1026.343614
580,1026.22708
581,1026.118599
582,1024.251083
583,1023.778456
584,1022.534497
585,1022.100267
586,1021.703021
587,1022.374757
588,1022.433643
589,1021.434299
590,1021.261502
591,1021.332773
592,1020.63181
593,1020.336606
594,1019.964465
595,1021.142855
596,1020.73226
597,1020.221823
598,1020.488813
599,1020.007128
600,1019.18875
601,1019.533001
602,1019.252761
603,1019.304411
604,1019.440534
605,1019.764009
606,1019.895501
607,1019.903118
608,1019.098689
609,1019.060377
610,1019.045052
611,1019.916345
612,1020.260344
613,1019.68942
614,1019.022448
615,1018.703196
616,1019.538832
617,1019.225227
618,1018.38626
619,1018.987157
620,1019.243097
621,1020.232603
622,1020.832195
623,1021.178071
624,1020.681651
625,1021.46966
626,1022.343476
627,1022.140587
628,1023.108883
629,1023.887502
630,1024.601302
631,1026.630633
632,1026.610134
633,1027.9855
634,1028.190755
635,1028.708128
636,1030.357958
637,1031.496125
638,1033.640074
639,1034.037952
640,1035.684549
641,1036.655448
642,1038.143239
643,1038.115688
644,1037.900574
645,1037.56086
646,1038.107264
647,1038.19369
648,1038.256348
649,1038.890661
650,1037.54291
651,1037.343723
652,1036.935697
653,1036.310882
654,1035.904012
655,1035.651034
656,1036.114131
657,1033.876186
658,1033.653998
659,1033.468529
660,1032.697871
661,1032.370011
662,1032.470643
663,1031.894218
664,1032.719663
665,1030.542144
666,1030.589043
667,1030.200125
668,1028.231058
669,1027.628886
670,1027.0004
671,1027.10791
672,1025.696266
673,1025.959394
674,1024.858319
675,1025.654019
676,1025.108066
677,1024.501353
678,1023.679611
679,1022.465161
680,1022.027519
681,1019.988571
682,1019.478231
683,1018.550603
684,1017.953479
685,1018.045437
686,1017.635409
687,1016.552133
688,1016.026952
689,1014.448962
690,1013.260338
691,1012.097487
692,1011.941913
693,1010.864722
694,1010.816184
695,1011.33485
696,1011.18401
697,1011.013024
698,1011.138575
699,1009.589263
700,1010.392318
701,1008.9046
702,1008.874349
703,1008.831348
704,1008.653472
705,1006.966731
706,1002.759439
707,1000.251591
708,996.8217958
709,993.3379928
710,989.1058574
711,986.8350909
712,984.3882093
713,982.4916195
714,980.2791006
715,977.7066576
716,974.9244516
717,971.587461
718,969.1660993
719,966.1316161
720,963.8168974
721,961.3098286
722,958.100864
723,955.4459227
724,944.5766155
725,872.739288
726,870.0095425
727,866.1475716
728,863.4671104
729,860.0006234
730,857.3247173
731,854.5654733
732,849.4629674
733,846.8014256
734,842.3501128
735,840.3192196
736,837.8124021
737,834.5535767
738,831.0691859
739,827.8653039
740,824.4597657
741,821.013886
742,818.7113569
743,815.3435005
744,812.9516611
745,809.5279837
746,818.4606966
747,826.6858251
748,836.4474068
749,845.2971818
750,855.1978327
751,864.0410077
752,873.0042898
753,883.2278937
754,893.1293271
755,903.7525144
756,914.518465
757,924.9401543
758,935.2368119
759,946.3554012
760,957.3684885
761,968.0303916
762,979.3200321
763,991.0436304
764,1000.540224
765,1011.461241
766,1011.490451
767,1010.469954
768,1007.818144
769,1006.551896
770,1004.127666
771,1001.91677
772,999.81892
773,998.0551606
774,996.2833738
775,994.6557825
776,993.0126922
777,991.7768282
778,990.9050267
779,990.3822966
780,989.1231729
781,988.9991679
782,987.2705037
783,985.1484728
784,983.2704914
785,980.8024456
786,976.6188275
787,971.8549001
788,969.9358956
789,965.808351
790,961.8548895
791,957.8378728
792,954.8724727
793,951.1020803
794,947.4723191
795,944.6325602
796,939.7327066
797,935.1493491
798,930.9735324
799,928.4301235
800,924.4927326
801,921.7151919
802,918.0695637
803,913.6061695
804,910.5713413
805,907.3810428
806,907.7038803
807,907.2116502
808,908.4922819
809,908.4423758
810,909.3415277
811,909.8057402
812,911.0094876
813,910.9188564
814,910.6194772
815,911.4889944
816,913.1083546
817,913.8870073
818,914.1245867
819,915.0714781
820,915.5378839
821,915.3292023
822,915.1515857
823,915.0778548
824,915.6401247
825,915.7819383
826,914.0004274
827,911.950709
828,910.7472274
829,909.5169954
830,907.8977184
831,906.3951651
832,904.2295927
833,902.3539982
834,902.4069724
835,901.5251467
836,899.6765601
837,897.2968909
838,896.1868532
839,894.4359068
840,892.4714178
841,890.3162197
842,888.8794355
843,887.4318709
844,886.6150895
845,885.2893718
846,884.9703406
847,885.2686033
848,886.3718347
849,886.1346442
850,886.4168378
851,886.9056143
852,885.8373718
853,886.8565976
854,886.9116583
855,886.9611678
856,887.9904272
857,889.7067102
858,889.6317856
859,890.1509059
860,890.1690739
861,889.4205046
862,889.6912561
863,890.5418253
864,892.0020419
865,893.3896666
866,893.2211308
867,893.6230514
868,892.2937305
869,892.1441787
870,891.0161467
871,889.6426618
872,889.1746454
873,889.2808992
874,887.4414967
875,887.3473933
876,886.808349
877,885.8642194
878,885.6378309
879,885.0439502
880,884.5250955
881,883.5945578
882,882.3796301
883,882.2873821
884,882.002634
885,881.9770367
886,878.1132489
887,873.326379
888,870.0275018
889,866.3371313
890,861.7241829
891,857.4077708
892,852.6230879
893,848.5894386
894,844.5393943
895,839.6307577
896,834.6379211
897,831.0609671
898,825.8161247
899,821.5998449
900,817.4135855
901,813.0993326
902,808.7873028
903,805.51201
904,801.3914843
905,766.840284
906,760.6599733
907,762.9395766
908,765.7742867
909,768.9723122
910,772.0279556
911,774.8893582
912,778.5913508
913,781.9921404
914,785.0243806
915,788.6597224
916,791.384952
917,795.4795095
918,798.6258251
919,801.7172936
920,805.29647
921,809.3020026
922,811.8647311
923,814.3979361
924,818.3937128
925,821.4145656
926,825.7557565
927,823.4002247
928,821.8880751
929,819.1940381
930,816.7179292
931,815.5283993
932,812.4489024
933,810.4260306
934,809.1624348
935,807.1690099
936,805.3210523
937,803.4034868
938,802.4530599
939,800.7921116
940,798.1742794
941,796.6608871
942,794.1639781
943,791.7138432
944,789.5056528
945,787.8214656
946,785.7916448
947,786.435148
948,786.5503721
949,788.0891759
950,787.9218793
951,790.5439282
952,791.1963541
953,791.302455
954,792.2019691
955,794.0843546
956,795.0105128
957,796.3011998
958,796.6622092
959,798.5718185
960,800.7215897
961,801.1422745
962,801.2135076
963,801.4881074
964,802.9118184
965,804.5214464
966,804.5992529
967,802.9198673
968,802.3235118
969,802.1597715
970,800.5024222
971,801.0426288
972,800.0257449
973,800.4045304
974,800.2811578
975,799.0724783
976,798.9349518
977,798.6105257
978,796.971516
979,796.1739045
980,796.1321948
981,795.1649423
982,794.3666995
983,792.7909975
984,791.8040118
985,791.2079087
986,790.7838061
987,791.271064
988,792.0921439
989,793.1288485
990,795.1198699
991,795.8405078
992,796.8978105
993,797.3374787
994,798.7421701
995,798.2770919
996,799.3787566
997,800.5699105
998,802.1390274
999,803.0666124
1000,803.8793829
1001,804.6363418
1002,805.8037747
1003,806.3599181
1004,808.2080248
1005,808.242404
1006,810.3761585
1007,811.3962573
1008,813.291285
1009,814.5333361
1010,816.2829882
1011,817.2850789
1012,817.9858807
1013,819.5835831
1014,820.4862424
1015,821.110943
1016,822.9116375
1017,823.9678556
1018,825.1943315
1019,827.3296594
1020,828.5238577
1021,829.318918
1022,830.9210225
1023,832.4073791
1024,833.533992
1025,834.5074866
1026,835.4230871
1027,833.4768034
1028,833.2930372
1029,831.0275807
1030,830.8432788
1031,830.0604842
1032,828.8585969
1033,827.6400732
1034,827.1095007
1035,825.9576992
1036,824.0596123
1037,822.537823
1038,820.8668737
1039,818.8421286
1040,817.9660103
1041,817.1620284
1042,816.1767928
1043,815.7395878
1044,816.1077499
1045,815.2364099
1046,814.7747998
1047,816.8966547
1048,819.7349381
1049,822.0579214
1050,824.1620618
1051,827.3548191
1052,830.1886308
1053,831.6908663
1054,833.1167381
1055,834.9992449
1056,837.7216974
1057,840.0562707
1058,841.4977288
1059,844.2641515
1060,845.5649837
1061,847.7491381
1062,849.9382785
1063,852.2866151
1064,854.030168
1065,855.0796081
1066,856.1312779
1067,855.0585493
1068,852.8265104
1069,851.0847384
1070,849.6518444
1071,848.9727961
1072,847.5089384
1073,845.5333875
1074,845.0943007
1075,844.2116068
1076,842.5621973
1077,841.5858584
1078,840.1724452
1079,839.7276996
1080,838.4613324
1081,837.2031965
1082,835.4264606
1083,834.1661791
1084,833.1214382
1085,831.7196793
1086,828.1715152
1087,820.5608457
1088,821.4596585
1089,820.8971182
1090,821.328726
1091,821.9244711
1092,821.4241519
1093,822.2253576
1094,822.4524704
1095,822.6205406
1096,821.7082239
1097,821.8690147
1098,822.6907832
1099,822.7940588
1100,823.1967504
1101,824.6248884
1102,825.5976715
1103,825.7147755
1104,825.8363566
1105,826.9609445
1106,827.745385
1107,827.6636189
1108,828.8340046
1109,829.1987588
1110,830.5809717
1111,831.7134834
1112,832.4215072
1113,832.4729954
1114,833.2551844
1115,833.0190269
1116,834.2817842
1117,833.4408628
1118,833.862376
1119,834.5401304
1120,836.0988725
1121,836.9037668
1122,837.8706701
1123,839.0548367
1124,840.5699119
1125,841.061565
1126,842.648903
1127,843.2808388
1128,842.6525824
1129,841.7351631
1130,839.963411
1131,840.7903694
1132,841.7790418
1133,840.5363674
1134,840.2108973
1135,839.9608022
1136,839.412349
1137,840.5279494
1138,839.5838785
1139,838.692199
1140,838.2545199
1141,838.9686958
1142,838.6086565
1143,837.642343
1144,837.0266199
1145,836.8323396
1146,836.4362499
1147,835.5803695
1148,834.034099
1149,831.5655607
1150,830.1780926
1151,828.1064282
1152,826.4944423
1153,824.6393302
1154,824.0700884
1155,822.1036255
1156,820.1285627
1157,818.0197635
1158,816.653569
1159,814.5795853
1160,812.216348
1161,810.7646698
1162,809.2766783
1163,807.6196166
1164,806.3890626
1165,804.6583862
1166,802.4156389
1167,799.4206728
1168,800.6836137
1169,800.6292195
1170,802.3058359
1171,802.8444426
1172,803.5267905
1173,804.4273687
1174,804.6895488
1175,806.5202082
1176,807.2687274
1177,807.5205379
1178,808.0806033
1179,808.9334377
1180,810.7190795
1181,811.1168141
1182,812.3266413
1183,813.087624
1184,813.7899429
1185,814.9029906
1186,815.0384447
1187,816.3705913
1188,818.0043265
1189,820.8844379
1190,823.5939679
1191,825.5294219
1192,829.025878
1193,831.4872551
1194,834.6813435
1195,838.4104144
1196,840.981817
1197,843.3144985
1198,846.2710714
1199,849.6081768
1200,851.8236829
1201,854.6333385
1202,858.4680095
1203,862.031376
1204,863.5902489
1205,866.8615875
1206,869.7439092
1207,872.8010715
1208,873.8217803
1209,876.4399871
1210,876.9679874
1211,878.8644605
1212,879.3532864
1213,880.8406457
1214,881.419341
1215,881.7285186
1216,884.56731
1217,886.1744159
1218,887.7087654
1219,889.5688782
1220,891.0007255
1221,891.9537005
1222,893.7373302
1223,895.5746501
1224,896.5760781
1225,897.4092492
1226,899.0396748
1227,899.5539338
1228,899.513374
1229,900.2048093
1230,902.3987264
1231,903.8504681
1232,903.6005964
1233,903.9333385
1234,905.188403
1235,906.5675833
1236,905.3495113
1237,905.4407066
1238,906.0078516
1239,905.0562847
1240,904.010979
1241,903.9435985
1242,904.4208384
1243,904.6876032
1244,905.6941738
1245,905.3390707
1246,906.5272842
1247,906.866973
1248,908.3591038
1249,910.5283188
1250,912.1973602
1251,914.011208
1252,916.1707133
1253,917.8368868
1254,920.0042787
1255,921.8028665
1256,923.7227975
1257,924.8518409
1258,927.4188551
1259,928.8662964
1260,929.8510222
1261,932.6601706
1262,934.2436117
1263,936.365385
1264,937.0617478
1265,938.5566032
1266,939.4536564
1267,953.1443022
1268,921.304908
1269,920.2742235
1270,919.0463233
1271,918.7819188
1272,918.4127469
1273,916.053451
1274,915.965274
1275,915.3397846
1276,915.0638939
1277,914.4075766
1278,914.6975949
1279,914.9462446
1280,913.4273038
1281,914.2166608
1282,912.8348105
1283,912.4872724
1284,912.2988504
1285,911.116806
1286,911.1340021
1287,911.7927497
1288,912.9979907
1289,913.543795
1290,913.7252008
1291,914.1917292
1292,915.2664794
1293,915.3646912
1294,915.1574551
1295,914.5291298
1296,915.2546247
1297,915.6715404
1298,916.3985355
1299,916.5835952
1300,916.3223055
1301,916.6088189
1302,916.4497079
1303,916.3012812
1304,916.9372282
1305,917.8642758
1306,917.7798848
1307,918.1004102
1308,918.91288
1309,919.7964973
1310,919.9072395
1311,921.6833516
1312,922.4441165
1313,923.2857556
1314,923.7284383
1315,924.7775069
1316,925.109994
1317,925.1709802
1318,927.4058508
1319,927.295172
1320,927.2824568
1321,927.0175478
1322,926.4563747
1323,926.2511583
1324,924.9008903
1325,925.105974
1326,926.0745635
1327,926.128395
1328,926.8566305
1329,927.4336933
1330,928.3110101
1331,929.8876621
1332,931.4720544
1333,932.1539669
1334,931.4774619
1335,931.9266702
1336,932.5642048
1337,932.9223164
1338,934.579863
1339,935.5362296
1340,936.3753791
1341,937.0494835
1342,938.1483645
1343,939.196628
1344,940.8800658
1345,940.1472803
1346,940.6572598
1347,941.303901
1348,942.7581335
1349,943.6727908
1350,944.0427764
1351,943.4558066
1352,943.519956
1353,943.1730767
1354,942.9604464
1355,942.9155021
1356,943.4200957
1357,944.0871472
1358,943.0366708
1359,942.5640276
1360,943.1225068
1361,943.5397459
1362,943.9132413
1363,946.1873138
1364,947.0144226
1365,947.8306512
1366,948.3063074
1367,948.6209112
1368,949.7488806
1369,950.4321837
1370,950.0631685
1371,949.9380982
1372,949.6380598
1373,949.9957485
1374,949.6525062
1375,949.7908585
1376,949.5412717
1377,950.3232071
1378,949.4471029
1379,950.2021538
1380,950.2224769
1381,951.1685961
1382,950.5265414
1383,950.2194843
1384,949.0004585
1385,947.9676301
1386,947.111004
1387,947.0791081
1388,947.1193953
1389,945.9850732
1390,943.8895577
1391,941.8454993
1392,941.2741177
1393,940.9311217
1394,939.0998171
1395,939.9559436
1396,939.218136
1397,937.5783449
1398,937.2805041
1399,936.4937082
1400,937.1769714
1401,936.8198882
1402,936.3261068
1403,935.4404836
1404,935.9416324
1405,936.0736937
1406,935.5109283
1407,935.2771564
1408,934.9077152
1409,935.9805219
1410,937.1271455
1411,937.7372775
1412,938.3960546
1413,939.2098767
1414,940.3232369
1415,940.8413727
1416,941.3357157
1417,942.4076491
1418,942.9596006
1419,944.4163269
1420,946.5101521
1421,946.6182362
1422,948.1165502
1423,949.9154159
1424,951.3287254
1425,952.5876821
1426,953.607797
1427,955.7997325
1428,955.6916403
1429,955.9530097
1430,955.5494936
1431,955.3076457
1432,954.8391563
1433,954.2384735
1434,954.1113502
1435,953.4607396
1436,953.8132809
1437,952.7933882
1438,951.1662571
1439,950.2142348
1440,950.2380657
1441,950.9234614
1442,952.3593555
1443,952.7179237
1444,952.6895057
1445,952.3996601
1446,952.0016257
1447,952.8721563
1448,958.0762853
1449,944.6361124
1450,944.1128109
1451,943.2849643
1452,943.6623513
1453,943.2853924
1454,943.1738625
1455,943.4112932
1456,942.9834662
1457,941.37808
1458,941.8868762
1459,941.8163721
1460,941.3672146
1461,940.7815238
1462,941.3460415
1463,941.1862121
1464,939.2928104
1465,940.1121983
1466,940.4501382
1467,939.3068333
1468,939.3854884
1469,938.5532036
1470,939.4300806
1471,940.9125713
1472,940.8757924
1473,941.4401266
1474,942.5466559
1475,943.7046505
1476,944.8739334
1477,944.6361529
1478,945.0456898
1479,945.2108851
1480,945.8552239
1481,947.9530369
1482,949.9126259
1483,950.5720648
1484,951.2758631
1485,951.8721791
1486,953.0975348
1487,954.2689475
1488,954.4868032
1489,955.2389718
1490,955.3462404
1491,954.6362276
1492,954.6501745
1493,954.3254821
1494,953.6127128
1495,954.9949605
1496,954.1683686
1497,954.9269443
1498,954.7321624
1499,955.0052981
1500,953.9460175
1501,953.289479
1502,952.4147633
1503,952.7008931
1504,952.4283197
1505,953.2232162
1506,952.9722017
1507,952.9159523
1508,951.8953648
1509,952.2382502
1510,951.478741
1511,950.2681414
1512,949.011514
1513,948.5453359
1514,948.0876025
1515,947.5669444
1516,946.2679526
1517,945.3294393
1518,943.3221897
1519,942.2757116
1520,941.9010858
1521,942.6247728
1522,942.2988869
1523,941.9920589
1524,942.2567432
1525,941.606905
1526,939.3664487
1527,939.1136372
1528,937.707527
1529,936.9247712
1530,938.7569282
1531,939.3570237
1532,939.9422235
1533,941.1614525
1534,942.9366801
1535,944.5830768
1536,945.2479439
1537,945.0316206
1538,946.0981131
1539,947.1227599
1540,946.6575157
1541,947.518329
1542,948.4358241
1543,948.0702668
1544,947.8547071
1545,947.4279254
1546,947.6009612
1547,948.3418034
1548,948.2972725
1549,949.2643847
1550,950.2353455
1551,950.1623832
1552,949.1546416
1553,948.1921453
1554,947.5480875
1555,947.5244185
1556,948.1446079
1557,947.2134547
1558,946.898223
1559,947.8765008
1560,947.9819576
1561,948.0246918
1562,947.5911473
1563,948.204288
1564,947.9997377
1565,949.0802276
1566,948.703299
1567,947.9205304
1568,948.3126634
1569,948.5326164
1570,949.4824132
1571,950.7469179
1572,951.2571983
1573,952.2636622
1574,952.3758475
1575,952.0419683
1576,953.8720235
1577,954.935368
1578,956.2273288
1579,957.5645039
1580,958.9150237
1581,960.2539912
1582,962.3390666
1583,963.0305999
1584,963.5738444
1585,964.1859631
1586,964.8680812
1587,965.2690068
1588,967.6846388
1589,969.2193994
1590,967.0834358
1591,963.9382124
1592,960.8002988
1593,957.9165887
1594,954.3967311
1595,952.5785984
1596,950.2056478
1597,946.8985762
1598,943.3688751
1599,941.320983
1600,939.51834
1601,937.0939624
1602,934.7817491
1603,933.2535132
1604,932.0704581
1605,930.379501
1606,927.8940956
1607,925.9937988
1608,923.900688
1609,922.0418219
1610,922.5339564
1611,923.6393398
1612,924.4866614
1613,925.2218688
1614,926.5198048
1615,929.137079
1616,930.3158618
1617,932.6303343
1618,934.1484655
1619,936.4585899
1620,938.3225114
1621,939.4080587
1622,941.0377336
1623,943.6916083
1624,944.7729407
1625,946.3478291
1626,948.2855161
1627,950.4370777
1628,951.4339419
1629,951.5589333
1630,943.9096753
1631,943.6102799
1632,943.628465
1633,943.051038
1634,943.8689349
1635,941.7670458
1636,941.1307886
1637,940.9058219
1638,939.7536897
1639,940.0695186
1640,940.2232558
1641,939.7265005
1642,938.4310932
1643,938.3195389
1644,937.6881847
1645,937.0682027
1646,935.9781211
1647,935.6920014
1648,935.5263751
1649,934.8860443
1650,934.3413525
1651,935.5823
1652,936.8273868
1653,938.0738287
1654,939.3364028
1655,939.988858
1656,939.7490633
1657,940.2631667
1658,942.1209076
1659,941.9236787
1660,942.8311092
1661,944.227698
1662,945.9985455
1663,947.0832611
1664,948.7746461
1665,948.2033462
1666,949.1964821
1667,949.8374737
1668,950.0133718
1669,950.9583135
1670,951.9147351
1671,953.3975833
1672,955.4332644
1673,957.3476637
1674,959.3332129
